,Ticker Symbol,Period Ending,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Capital Surplus,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Deferred Asset Charges,Deferred Liability Charges,Depreciation,Earnings Before Interest and Tax,Earnings Before Tax,Effect of Exchange Rate,Equity Earnings/Loss Unconsolidated Subsidiary,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Income Tax,Intangible Assets,Interest Expense,Inventory,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Minority Interest,Misc. Stocks,Net Borrowings,Net Cash Flow,Net Cash Flow-Operating,Net Cash Flows-Financing,Net Cash Flows-Investing,Net Income,Net Income Adjustments,Net Income Applicable to Common Shareholders,Net Income-Cont. Operations,Net Receivables,Non-Recurring Items,Operating Income,Operating Margin,Other Assets,Other Current Assets,Other Current Liabilities,Other Equity,Other Financing Activities,Other Investing Activities,Other Liabilities,Other Operating Activities,Other Operating Items,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Quick Ratio,Research and Development,Retained Earnings,Sale and Purchase of Stock,"Sales, General and Admin.",Short-Term Debt / Current Portion of Long-Term Debt,Short-Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Revenue,Treasury Stock,Earnings Per Share,Estimated Shares Outstanding,Share price
8,AAPL,28/09/13,36223000000,-1949000000,1156000000,30,-8165000000,0,93,14259000000,-973000000,19764000000,1.07E+11,168,0,2625000000,6757000000,50155000000,50155000000,0,0,16597000000,1577000000,38,64304000000,13118000000,4179000000,0,1764000000,-24042000000,8320000000,16960000000,1.06E+11,0,0,16896000000,3513000000,53666000000,-16379000000,-33774000000,37037000000,3394000000,37037000000,37037000000,24094000000,0,48999000000,29,5146000000,6882000000,7435000000,-471000000,-1082000000,-1567000000,20208000000,1080000000,0,29,41,22,164,4475000000,1.04E+11,-22330000000,10830000000,0,26287000000,2.07E+11,73286000000,43658000000,1.24E+11,83451000000,2.07E+11,1.71E+11,0,40.03,9252310767,69.11142729
9,AAPL,27/09/14,48649000000,-6452000000,980000000,35,-9571000000,0,40,13844000000,-76000000,23313000000,1.12E+11,108,0,3031000000,7946000000,53483000000,53483000000,0,0,20624000000,4616000000,39,70537000000,13973000000,4142000000,0,2111000000,-9027000000,13408000000,28987000000,1.30E+11,0,0,18266000000,-415000000,59713000000,-37549000000,-22579000000,39510000000,5210000000,39510000000,39510000000,31537000000,0,52503000000,29,3764000000,9806000000,8491000000,1082000000,-1158000000,-3981000000,24826000000,167000000,0,29,48,22,105,6041000000,87152000000,-44270000000,11993000000,6308000000,11233000000,2.32E+11,68531000000,63448000000,1.12E+11,1.20E+11,2.32E+11,1.83E+11,0,6.49,6087827427,98.650002
10,AAPL,26/09/15,60671000000,-3124000000,1285000000,45,-11247000000,0,52,21120000000,-238000000,27416000000,1.40E+11,111,0,3624000000,11257000000,72515000000,72515000000,0,0,22471000000,5116000000,40,93626000000,19121000000,3893000000,0,2349000000,-44417000000,15188000000,53329000000,1.64E+11,0,0,29305000000,7276000000,81266000000,-17716000000,-56274000000,53394000000,4968000000,53394000000,53394000000,30343000000,0,71230000000,30,5422000000,15085000000,8940000000,-345000000,-1499000000,-610000000,33427000000,-179000000,0,31,61,23,108,8067000000,92284000000,-34710000000,14329000000,10999000000,20481000000,2.90E+11,89378000000,80610000000,1.19E+11,1.71E+11,2.90E+11,2.34E+11,0,9.28,5753663793,112.830002
11,AAPL,24/09/16,59321000000,1044000000,1348000000,36,-12734000000,0,85,20484000000,217000000,31251000000,1.31E+11,135,0,2930000000,10505000000,61372000000,61372000000,0,0,27010000000,5414000000,39,84263000000,15685000000,3206000000,0,2132000000,-32022000000,-1867000000,75427000000,1.70E+11,0,0,22057000000,-636000000,65824000000,-20483000000,-45977000000,45687000000,9148000000,45687000000,45687000000,29299000000,0,60024000000,28,8757000000,8283000000,8080000000,634000000,-1570000000,-1221000000,36074000000,1090000000,0,28,48,21,133,10045000000,96364000000,-29227000000,14194000000,11605000000,46671000000,3.22E+11,1.07E+11,79006000000,1.28E+11,1.93E+11,3.22E+11,2.16E+11,0,8.35,5471497006,113.160004
